,artist,track,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
6926,Blood Orange,Hope,spotify:track:2QLNDKL7hZyh2OZ8UL9WrV,60,2018,0.413,0.227,5,-10.871,1,0.0756,0.411,0.0,0.0912,0.354,86.35,audio_features,239768,4
6927,Mitch James,Bright Blue Skies,spotify:track:5zxwumO0laRosoeOvbVSvc,63,2018,0.799,0.373,7,-8.999,1,0.0558,0.259,0.0,0.166,0.534,98.035,audio_features,182907,4
6928,Lil Xan,Slingshot,spotify:track:5J3LR9JWrZIUTG7UGZkIKg,61,2018,0.928,0.778,7,-6.962,0,0.252,0.0562,6.27e-06,0.129,0.668,122.998,audio_features,89973,4
6929,Joan Y Su Elite,Ya la Conecté,spotify:track:1Yi2UG6HgtaINqoX5wsMv3,57,2018,0.727,0.507,8,-9.76,0,0.0318,0.0432,4.55e-05,0.126,0.817,118.517,audio_features,163306,3
6930,Delayde,sekao,spotify:track:4c2TiYoJHIjEPZ5syRZhsY,61,2018,0.616,0.375,5,-16.921,1,0.0405,0.905,0.896,0.332,0.333,159.972,audio_features,132000,4
6931,ILLENIUM,God Damnit (with Call Me Karizma),spotify:track:2wm6DCnWcWwfsIl0LvWYZ8,59,2018,0.68,0.618,7,-5.469,1,0.0981,0.293,0.0,0.252,0.367,96.104,audio_features,215874,4
6932,Katy Perry,Cozy Little Christmas,spotify:track:02FaKXXL7KUtRc7K0k54tL,63,2018,0.774,0.608,7,-6.264,1,0.128,0.128,0.0,0.0895,0.56,137.494,audio_features,182521,4
6933,Noah Schnacky,Maybe We Will,spotify:track:4Ar1v62ri7sTbJ8XObrM2k,57,2018,0.586,0.475,4,-8.02,1,0.0316,0.798,0.0,0.116,0.425,169.927,audio_features,189582,4
6934,Lauv,Getting Over You,spotify:track:4G4gtvlaFaI6v6wWD8UvqL,63,2018,0.604,0.507,0,-7.928,1,0.0382,0.273,2.27e-06,0.0943,0.114,91.984,audio_features,255886,4
6935,Old Dominion,Bad At Love - Recorded at Sound Stage Studios Nashville,spotify:track:1kTugNMVMbaQep1srMua2q,57,2018,0.767,0.677,5,-4.668,1,0.0332,0.292,0.0,0.292,0.591,119.954,audio_features,181000,4
6936,Sugi.wa,Almost Home,spotify:track:3pGNBm0zULLn7K9Vvxjjz1,60,2018,0.382,0.0682,4,-19.178,1,0.062,0.874,0.915,0.0801,0.34,84.451,audio_features,169187,4
6937,Arizona Zervas,Living Facts,spotify:track:12ZcHg4123ayLuXiShGyPA,58,2018,0.745,0.784,5,-4.224,1,0.138,0.138,0.0,0.0828,0.337,77.099,audio_features,164853,4
6938,Kali Uchis,Your Teeth In My Neck,spotify:track:54IbnYEdA3ymfxv07WgN3b,59,2018,0.853,0.604,3,-5.794,0,0.0511,0.0696,1.65e-06,0.135,0.86,116.0,audio_features,186181,4
6939,Tyler Childers,Coming Down (Live),spotify:track:5wQ22DdiU6MEDEfron2yMC,55,2018,0.497,0.182,11,-14.019,1,0.0377,0.932,1.57e-05,0.698,0.378,135.775,audio_features,213893,4
6940,Los Angeles Azules,"Ni Contigo, Ni Sin Ti",spotify:track:3tHYpuF2eIc4pDrzIdNN3Y,55,2018,0.581,0.52,4,-5.347,1,0.0298,0.383,0.0,0.322,0.643,79.565,audio_features,251627,4
